ID,1978,1989,1991,1995,1996,2003,2019,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_CZ,1,1,1,1,1,1,1,2,Czechia,National,CZ,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
