ID,2013,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-based battery storage_Cumulative Total Capacity_CA,1000,2000,Sodium-based battery storage,Canada,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,CA
