ID,1992,1993,1995,1996,1999,2003,2004,2006,2010,2012,2013,2015,2017,2018,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_KR,1,1,1,1,3,1,1,2,2,1,6,1,5,11,2,4,8,South Korea,National,KR,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
