ID,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Vinyl Chloride_Price_World,7.654042989,7.144319345,6.516427105,6.216024341,5.882936508,5.121477162,4.396153846,4.119698398,3.561482821,3.5855546,3.325795645,PCDB,Price,Vinyl Chloride,Global,World,World,1966 USD/lb
Vinyl Chloride_Annual production_World,1312.0,1435.0,1615.0,2000.0,2500.0,2424.0,2969.0,3736.0,4040.0,4336.0,5089.0,PCDB,Annual production,Vinyl Chloride,Global,World,World,million pounds
