ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Lead mine production_Annual production_US,343000.0,341000.0,342000.0,343000.0,367000.0,366000.0,378000.0,410000.0,422000.0,426000.0,449000.0,465000.0,457000.0,455000.0,524000.0,544000.0,517000.0,597000.0,611000.0,452000.0,506000.0,412000.0,501000.0,581000.0,657000.0,711000.0,744000.0,736000.0,735000.0,724000.0,603000.0,419000.0,278000.0,263000.0,295000.0,308000.0,371000.0,447000.0,367000.0,457000.0,508000.0,551000.0,558000.0,481000.0,470000.0,450000.0,350000.0,474000.0,455000.0,515000.0,510000.0,434000.0,478000.0,477000.0,493000.0,490000.0,504000.0,502000.0,441000.0,321000.0,210000.0,430000.0,366000.0,366000.0,408000.0,385000.0,410000.0,386000.0,487000.0,594000.0,626000.0,604000.0,617000.0,624000.0,620000.0,579000.0,596000.0,552000.0,568000.0,578000.0,548000.0,498000.0,512000.0,515000.0,396000.0,487000.0,366000.0,374000.0,392000.0,396000.0,404000.0,346000.0,305000.0,335000.0,351000.0,374000.0,326000.0,343000.0,337000.0,350000.0,341000.0,290000.0,262000.0,245000.0,148000.0,143000.0,153000.0,123000.0,135000.0,103000.0,115000.0,118000.0,111000.0,114000.0,0.0,0.0,0.0,0.0,0.0,Lead mine production,U.S. Geological Survey,United States,US,National,Metric tons,Annual production
Lead mine production_Price_World,2000.0,1900.0,1700.0,1700.0,1700.0,1800.0,2300.0,2100.0,1700.0,1700.0,1700.0,1700.0,1700.0,1600.0,1400.0,1680.0,2270.0,2420.0,1700.0,1210.0,1470.0,945.0,1220.0,1550.0,1740.0,1880.0,1710.0,1400.0,1320.0,1440.0,1200.0,1010.0,833.0,1070.0,1030.0,1070.0,1220.0,1490.0,1200.0,1300.0,1330.0,1420.0,1430.0,1350.0,1320.0,1300.0,1490.0,2360.0,2690.0,2320.0,1980.0,2410.0,2230.0,1810.0,1880.0,2040.0,2110.0,1880.0,1510.0,1500.0,1450.0,1310.0,1150.0,1310.0,1580.0,1830.0,1670.0,1510.0,1370.0,1460.0,1450.0,1230.0,1290.0,1320.0,1640.0,1440.0,1460.0,1820.0,1860.0,2600.0,1850.0,1440.0,949.0,782.0,885.0,638.0,721.0,1140.0,1130.0,1140.0,1260.0,884.0,899.0,788.0,902.0,998.0,1120.0,1050.0,999.0,942.0,910.0,886.0,871.0,855.0,1050.0,1130.0,1380.0,2150.0,2010.0,1460.0,1790.0,1950.0,1790.0,1770.0,1610.0,1380.0,1410.0,1680.0,1590.0,Lead mine production,U.S. Geological Survey,World,World,Global,1998 USD/metric ton,Price
Lead mine production_Annual production_World,749000.0,,,,,,1040000.0,993000.0,1280000.0,1060000.0,1100000.0,1110000.0,1160000.0,1150000.0,,,,,,764000.0,804000.0,783000.0,972000.0,1080000.0,1220000.0,1410000.0,,1540000.0,1680000.0,1610000.0,1520000.0,1260000.0,1050000.0,1040000.0,1200000.0,1380000.0,1470000.0,,1700000.0,1740000.0,,,,,,1250000.0,1030000.0,1310000.0,1380000.0,1370000.0,1640000.0,1600000.0,1810000.0,1870000.0,2000000.0,2010000.0,2400000.0,2380000.0,2350000.0,2320000.0,2390000.0,2390000.0,2510000.0,2560000.0,2530000.0,2700000.0,2850000.0,2870000.0,3010000.0,3240000.0,3390000.0,3490000.0,3450000.0,3490000.0,3490000.0,3440000.0,3690000.0,3410000.0,3460000.0,3510000.0,3520000.0,3350000.0,3450000.0,3350000.0,3200000.0,3390000.0,3240000.0,3430000.0,3420000.0,3400000.0,3370000.0,3260000.0,3200000.0,2900000.0,2800000.0,2710000.0,2920000.0,3100000.0,3060000.0,3080000.0,3200000.0,3120000.0,2850000.0,3200000.0,3150000.0,3470000.0,3630000.0,3710000.0,3880000.0,3780000.0,4160000.0,4750000.0,5080000.0,4930000.0,4630000.0,4510000.0,4640000.0,4630000.0,4300000.0,Lead mine production,U.S. Geological Survey,World,World,Global,Metric tons,Annual production
