ID,1991,1996,2002,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_TH,720000.0,891000.0,1391000.0,Pumped Hydro Storage,Thailand,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,TH
Pumped Hydro Storage_Cumulative Rated Capacity_TH,0.0,0.0,0.0,Pumped Hydro Storage,Thailand,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,TH
