ID,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Spatial Scale,Metric,Unit,Country Code,Technology Name
Off-Grid Offshore Wind Energy_Installed electricity capacity_BF,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BF,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_BI,Burundi,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,BI,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CV,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CV,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KH,Cambodia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KH,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CM,Cameroon,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CM,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CA,Canada,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CA,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KY,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KY,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CF,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CF,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_TD,Chad,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,TD,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CL,Chile,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CL,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CN,China,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CN,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_TW,Chinese Taipei,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,TW,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CO,Colombia,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CO,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_KM,Comoros,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,KM,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CG,Congo,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CG,Off-Grid Offshore Wind Energy
Off-Grid Offshore Wind Energy_Installed electricity capacity_CK,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,IRENA,National,Installed electricity capacity,MW,CK,Off-Grid Offshore Wind Energy
