ID,2003,2017,2019,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_GR,1,1,1,Greece,National,GR,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
