ID,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Data Source,Spatial Scale,Country Code,Country Name,Metric,Unit,Technology Name
DNA Sequencing (All Methods)_Price_World,5292.39288459743,3656.218303285713,2608.589952991773,1217.7306978608897,884.3891291417459,642.3342361607331,479.59243625179727,32.33062266476818,1.5717986407704363,0.3847305745971492,0.15531990957259165,0.07269606192186956,0.06123722305915391,0.054345393141196505,0.02996992811337209,0.014960385311948828,0.014796723604172404,0.015428810937766584,0.008991592932811883,0.0070742023948494525,0.006720165004447142,0.005829163152286766,NIH,Global,World,World,Price,USD/megabase,DNA Sequencing (All Methods)
DNA Sequencing (All Methods)_Price_World,95263071.9227537,65811929.459142834,46954619.15385191,21919152.561496016,15919004.324551428,11562016.250893196,8632663.85253235,1377846.0451756842,141461.87766933927,34625.751713743426,13978.79186153325,6542.64557296826,5466.988195690851,4891.085382707685,2697.293530203488,1346.4346780753947,1331.7051243755163,1388.5929843989927,809.2433639530694,636.6782155364507,604.8148504002427,524.6246837058089,NIH,Global,World,World,Price,USD/genome,DNA Sequencing (All Methods)
