ID,1961,1965,1968,1969,1970,1972,1973,1974,1975,1976,1980,1981,1982,1984,1986,1987,1988,1990,1994,1995,1996,1998,1999,2011,2012,2013,2014,2015,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Total Capacity_JP,150500,500500,1023500,1986500,2712500,3837500,4512500,4712500,5212500,6120500,8606500,10163500,12363500,12978500,14178500,14778500,15828500,16068500,16968500,18469780,20269780,22201780,22231780,23431780,24371780,24571780,25171780,25371780,27451780,Pumped hydro storage,Japan,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,JP
