ID,1995,2004,2010,2011,2013,2014,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_UA,1,2,1,2,1,1,1,Ukraine,National,UA,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
