ID,1922,1923,1924,1931,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1978,1992,1998,2003,2005,2010,2011,Technology Name,Country Name,Country Code,Spatial Scale,Unit,Metric,Data Source
Dishwasher_Share of Households_US,1.1,1.0,1.8,0.6,1.2,1.5,2.0,2.6,3.0,3.2,3.5,4.0,4.6,5.2,5.8,6.3,7.1,7.9,8.9,9.0,11.8,13.5,15.7,18.1,20.8,23.7,26.5,29.6,32.0,34.3,36.6,38.3,39.6,41.9,49.3,56.0,62.3,64.0,69.4,69.3,Dishwashers,United States,US,National,Percentage,Share of Households,OWD
