ID,1951,1955,1958,1959,1960,1964,1967,1968,1969,1973,1974,1976,1979,1983,1989,2004,2010,2013,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_DE,150000,249000,529000,564000,613200,923200,1283200,1363200,1503200,1506700,1986700,3060700,4110700,4159700,4312700,5372700,5512700,6388420,6688420,Pumped Hydro Storage,Germany,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,DE
Pumped Hydro Storage_Cumulative Rated Capacity_DE,150000,249000,529000,564000,613200,923200,1283200,1363200,1503200,1506700,1986700,3060700,4110700,4159700,4312700,5372700,5512700,6388420,6688420,Pumped Hydro Storage,Germany,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,DE
