ID,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow Battery Storage_Cumulative Rated Power_NZ,3,Flow Battery Storage,New Zealand,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,NZ
Flow Battery Storage_Cumulative Rated Capacity_NZ,3,Flow Battery Storage,New Zealand,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,NZ
