ID,2004,2010,2011,2012,2013,2014,2015,2016,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow Battery Storage_Cumulative Rated Power_US,250,1430,1680,2965,31590,32905,34253,36891,37891,Flow Battery Storage,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
Flow Battery Storage_Cumulative Rated Capacity_US,250,1430,1680,2965,31590,32905,34253,36891,37891,Flow Battery Storage,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
