ID,1991,2012,2013,2015,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Compressed Air Energy Storage_Cumulative Rated Power_US,110000,112000,430580,430580,730580,Compressed Air Energy Storage,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
Compressed Air Energy Storage_Cumulative Rated Capacity_US,110000,112000,430580,430580,730580,Compressed Air Energy Storage,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
