ID,1981,1988,2004,2005,2015,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_PT,336000,476000,996000,1187600,1398600,3353600,Pumped Hydro Storage,Portugal,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,PT
Pumped Hydro Storage_Cumulative Rated Capacity_PT,336000,476000,996000,1187600,1398600,3353600,Pumped Hydro Storage,Portugal,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,PT
