ID,1991,1997,1998,1999,2000,2002,2004,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Latent heat storage_Cumulative Total Capacity_US,4425,5355,5505,5505,6005,6129,9329,9529,17939,18126,20651,25451,32573,78828,83836,87453,93453,Latent heat storage,United States,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,US
