ID,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Total Number_NZ,1,1,8,4,11,New Zealand,National,NZ,UNOOSA,Total Number,-,Space Launches
