ID,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery storage_Cumulative Total Capacity_ZA,625,Flow battery storage,South Africa,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,ZA
