ID,1974,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_IE,292000,293500,Pumped Hydro Storage,Ireland,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,IE
Pumped Hydro Storage_Cumulative Rated Capacity_IE,292000,293500,Pumped Hydro Storage,Ireland,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,IE
