ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Corn Production_Price_BO,20.59,24.01,25.31,32.34,35.58,39.18,42.33,46.03,47.93,50.24,49.04,49.59,49.05,52.28,50.61,51.15,53.86,54.77,57.42,89.07,94.17,98.13,102.33,113.94,88.98,97.08,116.52,125.59,139.11,137.8,131.38,124.96,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Bolivia (Plurinational State of),BO
Corn Production_Price_BA,,,,,,29.3,44.02,52.96,77.13,96.33,97.39,75.71,94.91,102.01,91.0,93.38,145.49,146.84,89.57,108.41,133.29,161.37,134.36,95.26,107.7,97.04,113.18,98.36,97.23,106.52,116.7,126.87,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Bosnia and Herzegovina,BA
Corn Production_Price_BW,14.08,15.0,17.71,17.71,22.46,21.15,21.15,21.15,22.55,31.12,24.59,34.41,45.16,45.98,42.31,42.65,44.9,49.67,48.88,50.77,96.8,96.8,160.68,104.54,97.48,97.98,103.58,108.14,97.62,105.65,108.03,110.42,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Botswana,BW
Corn Production_Price_BR,0.0,0.03,0.78,15.6,22.04,28.28,24.38,27.89,33.15,39.39,31.79,50.86,61.76,58.99,56.22,51.19,65.18,77.19,61.76,58.31,83.53,86.3,85.0,85.32,89.71,124.97,103.23,89.21,91.78,138.72,163.4,190.27,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Brazil,BR
Corn Production_Price_BN,43.17,43.74,42.59,38.56,39.71,33.52,27.85,26.82,26.3,25.27,30.43,21.66,21.66,19.08,20.11,21.66,23.64,24.76,24.86,25.48,27.61,30.11,30.09,34.41,134.09,131.51,115.1,237.23,120.49,147.19,242.12,306.5,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Brunei Darussalam,BN
Corn Production_Price_BG,,,,,,,,60.24,58.17,69.01,83.1,70.46,75.15,84.19,52.75,60.34,101.17,113.82,75.52,100.09,122.7,128.27,110.2,100.45,98.88,100.68,103.04,101.09,99.17,109.18,145.51,181.83,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Bulgaria,BG
Corn Production_Price_BF,36.32,37.54,31.41,44.86,44.86,57.95,54.48,60.53,54.48,39.35,49.64,61.14,52.66,53.98,61.32,63.16,79.8,104.55,101.53,97.37,108.01,106.53,111.4,111.28,93.02,95.7,104.01,112.15,108.87,109.72,109.29,108.86,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Burkina Faso,BF
Corn Production_Price_BI,8.27,8.44,10.13,8.44,8.78,13.5,25.31,27.0,22.93,30.77,30.8,29.45,33.17,44.01,57.36,50.66,57.24,71.03,76.7,78.07,78.29,94.17,96.43,80.33,96.25,123.42,185.13,104.13,136.7,120.48,84.69,56.55,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Burundi,BI
Corn Production_Price_CV,19.04,19.76,22.93,25.78,28.27,31.55,32.34,41.72,42.11,42.12,42.12,42.12,42.12,42.12,42.12,42.12,42.12,88.21,100.31,100.65,100.65,98.09,100.29,100.73,99.52,99.75,100.29,100.29,99.52,100.14,100.29,100.22,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Cabo Verde,CV
Corn Production_Price_KH,4.56,6.94,33.15,30.07,36.24,30.84,30.84,45.49,50.26,48.19,37.01,22.36,29.6,38.55,42.71,47.03,74.78,81.26,64.14,84.96,95.14,97.6,96.72,104.89,97.66,97.45,104.93,108.99,116.65,114.06,115.28,125.19,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Cambodia,KH
Corn Production_Price_CM,37.18,34.85,31.75,28.65,35.32,44.15,46.47,46.93,55.76,58.09,60.41,60.41,64.36,67.82,69.8,74.55,81.03,98.3,81.91,72.61,89.29,99.38,104.54,108.86,94.99,96.16,97.65,104.24,102.01,101.88,101.91,101.9,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Cameroon,CM
Corn Production_Price_CA,56.66,51.41,69.25,60.86,67.04,69.52,60.13,62.06,58.48,64.71,84.43,76.1,75.02,74.5,57.18,63.55,83.33,104.54,95.41,90.16,123.85,135.59,121.42,97.37,100.95,101.68,99.77,102.45,110.56,111.61,138.9,144.65,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Canada,CA
Corn Production_Price_CF,30.8,31.11,34.22,42.31,84.3,74.83,76.65,86.12,,,,,,,,,,,,,,85.87,95.82,106.2,94.04,99.76,105.12,110.61,106.82,104.93,103.38,101.77,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Central African Republic,CF
Corn Production_Price_TD,,,,,,,,,,,,,,,,,65.41,95.62,105.71,90.68,92.08,101.72,111.35,120.99,85.97,93.05,88.84,89.77,74.76,96.06,102.13,93.52,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Chad,TD
Corn Production_Price_CL,49.92,52.13,56.8,66.34,66.81,85.67,66.25,66.9,69.79,67.56,76.53,87.38,89.44,90.86,74.67,81.79,109.87,134.09,108.43,110.43,138.75,32.19,41.52,42.48,130.96,126.56,129.89,131.79,128.91,158.74,223.13,287.51,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Chile,CL
Corn Production_Price_CN,18.01,19.51,23.41,35.43,49.92,90.03,73.7,64.91,50.67,142.38,54.02,50.67,74.12,65.75,64.91,84.17,61.58,63.53,69.51,77.47,87.06,101.34,126.88,113.69,112.77,73.53,104.93,110.26,118.2,121.19,116.52,131.54,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,"China, mainland",CN
Corn Production_Price_CO,14.62,16.56,19.64,22.68,25.49,33.38,33.67,39.82,46.55,49.37,55.41,56.87,63.69,61.32,59.23,64.32,74.86,81.68,80.66,77.49,93.79,86.43,82.06,76.93,103.23,119.84,129.63,110.99,133.18,157.88,200.46,242.1,Producer Price Index (2014-2016 = 100),Price,National,Corn Production,FAOSTAT,Colombia,CO
