ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Lithium Mine Production_Annual production_US,10.4,35.0,24.9,23.1,11.5,1.58,7.66,10.6,4.06,3.78,4.76,10.0,7.2,10.6,10.5,9.72,12.4,41.2,118.0,126.0,234.0,36.7,43.8,46.2,59.9,62.8,74.0,83.5,92.0,,35.9,,,10.1,14.4,23.1,24.8,27.1,22.3,49.8,52.5,97.1,139.0,215.0,394.0,127.0,150.0,93.0,135.0,221.0,347.0,444.0,505.0,821.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,,,,,Lithium Mine Production,USGS,United States,US,National,metric tons,Annual production
Lithium Mine Production_Price_World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32900.0,,,,,,,,,,,,,,,,14600.0,11400.0,13300.0,13000.0,12800.0,9940.0,9100.0,8990.0,8960.0,8040.0,6400.0,6220.0,6160.0,5110.0,5330.0,4730.0,4660.0,4490.0,4830.0,4510.0,4520.0,4480.0,5750.0,5210.0,5240.0,5220.0,5270.0,5080.0,5260.0,5570.0,5250.0,5340.0,5340.0,5020.0,4920.0,4910.0,4950.0,5010.0,5030.0,5040.0,5020.0,4750.0,4850.0,4640.0,4510.0,4550.0,4480.0,4360.0,4230.0,1370.0,1440.0,1370.0,1480.0,1220.0,1880.0,2770.0,3360.0,3440.0,3250.0,2800.0,3000.0,3070.0,3110.0,3120.0,3340.0,3260.0,4760.0,5130.0,Lithium Mine Production,USGS,World,World,Global,1998 USD/metric ton,Price
Lithium Mine Production_Annual production_World,,,,,,,,,,,,,,,,,,,,,,,,,,3730.0,4530.0,5260.0,5970.0,3140.0,3030.0,679.0,690.0,738.0,1200.0,1540.0,2060.0,3280.0,2510.0,3060.0,3440.0,4400.0,6990.0,9180.0,15600.0,2830.0,4540.0,5350.0,5450.0,6270.0,18000.0,25200.0,25500.0,57800.0,93200.0,86000.0,105000.0,111000.0,87800.0,62400.0,87100.0,57200.0,47300.0,49500.0,64000.0,68500.0,3450.0,7590.0,63700.0,68000.0,73100.0,73400.0,19700.0,79300.0,113000.0,122000.0,75000.0,74300.0,81900.0,76000.0,92800.0,90200.0,83600.0,93700.0,108000.0,122000.0,132000.0,139000.0,154000.0,173000.0,163000.0,149000.0,156000.0,127000.0,128000.0,177000.0,214000.0,213000.0,178000.0,188000.0,204000.0,210000.0,217000.0,256000.0,261000.0,342000.0,392000.0,378000.0,449000.0,366000.0,481000.0,610000.0,634000.0,582000.0,621000.0,616000.0,741000.0,1960000.0,2480000.0,2070000.0,Lithium Mine Production,USGS,World,World,Global,metric tons,Annual production
