ID,2002,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-Based Battery Storage_Cumulative Rated Power_US,2000,3200,6200,7200,11200,11602,15642,20107,21407,21877,22232,Sodium-Based Battery Storage,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
Sodium-Based Battery Storage_Cumulative Rated Capacity_US,2000,3200,6200,7200,11200,11602,15642,20107,21407,21877,22232,Sodium-Based Battery Storage,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
