ID,1951,1976,1981,1988,1998,2006,2008,2013,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_IN,150000,162000,1832000,2232000,2472000,4172000,5072000,5772000,6772000,Pumped Hydro Storage,India,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,IN
Pumped Hydro Storage_Cumulative Rated Capacity_IN,150000,162000,1832000,2232000,2472000,4172000,5072000,5772000,6772000,Pumped Hydro Storage,India,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,IN
