ID,2012,2013,2014,2015,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_NL,400,450,620,10620,14620,Lithium-Ion Battery Storage,Netherlands,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,NL
Lithium-Ion Battery Storage_Cumulative Rated Capacity_NL,400,450,620,10620,14620,Lithium-Ion Battery Storage,Netherlands,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,NL
