ID,2013,2014,2015,2016,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Zinc-Based Battery_Cumulative Rated Power_US,1000,1100,4100,4350,14350,Zinc-Based Battery,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
Zinc-Based Battery_Cumulative Rated Capacity_US,1000,1100,4100,4350,14350,Zinc-Based Battery,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
