ID,2017,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_BD,1,1,Bangladesh,National,BD,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
