ID,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat thermal battery storage_Cumulative Total Capacity_CL,10500,Heat thermal battery storage,Chile,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,CL
