ID,1987,2014,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-acid battery storage_Cumulative Total Capacity_DE,8500,10090,15090,Lead-acid battery storage,Germany,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,DE
