ID,2000,2005,2012,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery storage_Cumulative Total Capacity_JP,3000,7000,8000,8030,23030,Flow battery storage,Japan,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,JP
