ID,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Polyvinylchloride_Price_World,0.526,0.469,0.465,0.493,0.462,0.456,0.446,0.442,0.424,0.374,0.341,0.298,0.27,0.246,0.223,0.182,0.17,0.168,0.156,0.154,0.141,0.128,0.123,PCDB,Price,Polyvinylchloride,Global,World,World,1958 USD/lb
Polyvinylchloride_Annual production_World,,136.0,173.0,227.0,325.0,411.0,356.0,435.0,396.0,527.0,637.0,689.0,657.0,905.0,936.0,977.0,1215.0,1386.0,1637.0,1837.0,2160.0,2142.0,2395.0,PCDB,Annual production,Polyvinylchloride,Global,World,World,million pounds
