ID,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Ethyl Alcohol_Price_World,5.650677789,5.75748194,6.229038855,6.234693878,6.374616172,6.305015353,6.471252567,5.912778905,6.074404762,5.908649174,5.673076923,5.510838831,5.698915009,5.114359415,4.498324958,PCDB,Price,Ethyl Alcohol,Global,World,World,Price (1966 USD/lbs)
Ethyl Alcohol_Annual production_World,221.7,230.3,248.0,253.7,248.8,261.8,284.4,297.5,285.0,278.6,286.7,337.9,307.6,251.4,244.6,PCDB,Annual production,Ethyl Alcohol,Global,World,World,Yearly Production (Mil. lbs)
