ID,1990,1996,1997,1998,2000,2002,2007,2011,2013,2014,2015,2018,2020,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_AR,1,3,1,1,2,2,1,1,2,2,1,1,1,1,Argentina,National,AR,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
