ID,1933,1950,1960,1970,1975,1980,1985,1986,Technology Name,Country Name,Country Code,Spatial Scale,Unit,Metric,Data Source
Electric Range_Share of Households_US,0.05,0.14,0.3,0.4,0.45,0.5,0.53,0.57,Electric Range,United States,US,National,Percentage,Share of Households,OWD
