ID,2009,2011,2012,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat Thermal Battery Storage_Cumulative Rated Power_US,2000,2275,4285,4600,4605,4605,Heat Thermal Battery Storage,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
Heat Thermal Battery Storage_Cumulative Rated Capacity_US,2000,2275,4285,4600,4605,4605,Heat Thermal Battery Storage,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
