ID,1992,1998,2003,2005,2010,2011,Technology Name,Country Name,Country Code,Spatial Scale,Unit,Metric,Data Source
Videocassette recorder_Share of Households_US,0.738,0.852,0.9,0.922,0.9209999999999999,0.909,Videocassette recorder,United States,US,National,Percentage,Share of Households,OWID
