ID,1990,2001,2011,2013,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_PK,1,1,1,1,2,Pakistan,National,PK,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
