ID,2014,2015,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery storage_Cumulative Total Capacity_GN,90,200,300,Lithium-ion battery storage,Guinea,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,GN
