ID,2012,2016,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_BY,1,1,1,Belarus,National,BY,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
