ID,2000,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Total Capacity_LT,900000,Pumped hydro storage,Lithuania,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,LT
