ID,1956,1958,1969,1972,1976,1979,1980,1981,1988,2009,2010,2011,2013,2014,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_AT,113000,345000,352000,583000,878000,1728000,2017000,2125000,2485000,3010000,3022000,3692000,3890000,4320000,4680000,Pumped Hydro Storage,Austria,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,AT
Pumped Hydro Storage_Cumulative Rated Capacity_AT,113000,345000,352000,583000,878000,1728000,2017000,2125000,2485000,3010000,3022000,3692000,3890000,4320000,4680000,Pumped Hydro Storage,Austria,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,AT
