ID,2011,2012,2013,2014,2015,2016,2017,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_GB,200,275,4925,11523,21523,23825,43825,44825,Lithium-Ion Battery Storage,United Kingdom,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,GB
Lithium-Ion Battery Storage_Cumulative Rated Capacity_GB,200,275,4925,11523,21523,23825,43825,44825,Lithium-Ion Battery Storage,United Kingdom,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,GB
