ID,1949,1951,1955,1960,1962,1965,1968,1973,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,Data Source,Country Name,Country Code,Spatial Scale,Metric,Technology Name,Unit
Random Access Memory_Computing Capacity_World,0.02423,0.03459,0.090545,0.10386,0.21193,1.1623,6.5123,11.388,104.82,170.64,286.33,381.32,499.38,774.82,972.05,1810.5,5364.6,6537.3,13646.0,21053.0,16628.0,24710.0,25907.0,76453.0,100200.0,164100.0,182690.0,177780.0,221090.0,260990.0,1753900.0,3783300.0,6196700.0,7366900.0,52648000.0,31469000.0,36428000.0,93945000.0,Kurzweil,World,World,Global,Computing Capacity,Random Access Memory,Bits/2000 USD
