ID,2014,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel battery storage_Cumulative Total Capacity_CA,2000,7000,12000,Flywheel battery storage,Canada,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,CA
