ID,2006,2008,2010,2011,2012,2013,2014,2015,2016,2017,2020,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel Battery Storage_Cumulative Rated Power_US,240,740,4840,25055,30370,30970,62960,65330,65338,67338,87338,Flywheel Battery Storage,United States,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,US
Flywheel Battery Storage_Cumulative Rated Capacity_US,240,740,4840,25055,30370,30970,62960,65330,65338,67338,87338,Flywheel Battery Storage,United States,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,US
