ID,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_MQ,2472.0,Lithium-Ion Battery Storage,Martinique,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,MQ
Lithium-Ion Battery Storage_Cumulative Rated Capacity_MQ,1977.6,Lithium-Ion Battery Storage,Martinique,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,MQ
