,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1978,Technology Name,Country Name,Country Code,Spatial Scale,Unit,Metric,Data Source,ID
0,31.5,33.5,35.7,36.0,37.1,38.8,40.5,43.6,44.5,45.4,46.6,48.6,48.1,48.3,48.9,48.8,49.0,48.4,49.2,49.7,49.5,49.0,48.2,46.9,48.8,49.5,51.7,52.8,56.5,57.7,59.4,60.5,62.2,64.3,66.7,68.3,70.9,72.5,74.3,76.4,78.2,79.5,81.2,83.5,85.6,87.0,89.1,90.7,92.0,94.4,96.9,97.5,98.4,99.2,99.5,99.9,Vacuums,United States,US,National,Percentage,Share of households,OWD,Vacuum_Share of households_US
