ID,1969,2003,2007,2010,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_RU,15900,1215900,2055900,2195900,Pumped Hydro Storage,Russia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,RU
Pumped Hydro Storage_Cumulative Rated Capacity_RU,15900,1215900,2055900,2195900,Pumped Hydro Storage,Russia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,RU
