ID,1982,1996,1999,2003,2007,2009,2010,2011,2013,2014,2015,2016,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sensible heat storage_Cumulative Total Capacity_US,422,2722,7822,8697,10197,102197,105197,107197,402451,564031,678031,678031,678031,Sensible heat storage,United States,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,US
