ID,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric,Unit
Geothermal Energy_Levelized Cost of Energy_World,0.05007819,0.055424793,0.095316759,0.050445289,0.085694535,0.064111182,0.065335028,0.05884901,0.067801818,0.070917179,0.067583444,0.067305217,0.054264041,0.067615996,Geothermal Energy,World,World,Global,IRENA,Levelized Cost of Energy,2021 USD/kWh
