ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-acid battery storage_Cumulative Total Capacity_ZA,10,Lead-acid battery storage,South Africa,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,ZA
