ID,1963,1965,1974,1984,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_GB,360000,800000,1100000,2828000,Pumped Hydro Storage,United Kingdom,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,GB
Pumped Hydro Storage_Cumulative Rated Capacity_GB,360000,800000,1100000,2828000,Pumped Hydro Storage,United Kingdom,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,GB
