ID,2012,2013,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery storage_Cumulative Total Capacity_CH,1000,1105,1825,Lithium-ion battery storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,CH
