ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery storage_Cumulative Total Capacity_IL,50,Flow battery storage,Israel,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,IL
