ID,2014,2016,2017,2020,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Total Number_BE,3,1,28,3,1,Belgium,National,BE,UNOOSA,Total Number,-,Space Launches
