ID,2013,2014,2015,2016,2017,2018,Technology Name,Country Name,Country Code,Spatial Scale,Unit,Metric,Data Source
Households with only mobile phones (no landlines)_Share of Households_US,0.4,0.45299999999999996,0.506,0.527,0.54,0.5489999999999999,Households with only mobile phones (no landlines),United States,US,National,Percentage,Share of Households,OWD
