ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Sugar Cane Production_Price_CI,25.43,25.43,25.43,36.02,36.02,36.02,55.1,55.1,55.1,57.21,57.21,57.21,73.18,64.88,62.01,62.6,70.19,87.05,84.03,103.86,107.57,99.39,102.75,100.37,98.74,100.89,98.77,98.17,102.29,102.22,102.15,102.08,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Côte d'Ivoire,CI
Sugar Cane Production_Price_DO,1.83,1.83,1.83,1.85,1.97,2.21,2.24,2.35,2.37,2.03,3.63,5.93,2.89,3.45,5.86,3.34,6.27,4.49,5.43,4.94,5.75,7.86,7.23,7.14,7.06,285.8,315.33,347.95,572.13,485.57,487.8,534.2,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Dominican Republic,DO
Sugar Cane Production_Price_EC,1.6,2.12,2.37,3.99,4.99,7.27,8.41,12.69,16.26,33.1,53.48,71.3,49.91,42.78,42.78,51.34,56.33,106.95,142.6,106.95,106.95,96.72,103.67,101.25,84.14,114.62,112.31,112.89,108.63,111.59,105.01,105.0,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Ecuador,EC
Sugar Cane Production_Price_EG,12.25,13.94,15.42,17.11,19.01,20.07,20.07,20.07,20.07,20.07,20.07,22.18,22.18,27.46,33.8,33.8,38.45,42.25,49.65,59.15,70.77,76.06,76.06,84.51,84.51,130.99,152.11,152.11,151.14,167.86,185.62,203.39,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Egypt,EG
Sugar Cane Production_Price_SV,54.06,57.04,58.74,70.97,77.83,70.06,66.63,52.29,36.7,47.94,50.61,40.36,41.55,42.0,57.93,86.62,59.05,75.0,106.33,124.76,152.36,126.25,114.16,108.01,96.84,95.15,88.29,89.23,104.58,104.58,74.79,93.0,producer price index,Price,National,Sugar Cane Production,FAOSTAT,El Salvador,SV
Sugar Cane Production_Price_ET,,,11.99,13.71,18.41,15.27,16.06,17.23,14.88,16.06,14.1,15.27,14.88,17.82,17.7,18.41,31.33,40.73,46.05,46.21,53.26,70.1,76.37,92.43,100.65,106.92,103.0,107.31,120.52,120.57,120.63,126.74,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Ethiopia,ET
Sugar Cane Production_Price_FJ,,,,,,,,123.09,76.44,66.21,91.49,80.96,90.44,83.52,87.43,64.41,84.27,81.26,67.78,70.02,78.55,88.5,91.42,90.41,80.64,128.95,123.95,122.73,119.18,116.7,120.45,117.82,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Fiji,FJ
Sugar Cane Production_Price_GH,2.17,2.67,3.0,4.46,8.26,10.17,21.33,17.89,11.56,23.98,38.44,34.35,48.27,54.53,62.44,67.42,78.45,90.68,81.16,86.39,93.16,90.36,127.03,104.57,93.9,101.52,100.67,105.27,101.47,101.52,101.58,101.63,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Ghana,GH
Sugar Cane Production_Price_GD,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,82.78,73.33,61.59,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Grenada,GD
Sugar Cane Production_Price_GN,27.8,28.37,27.99,36.87,46.91,49.22,49.84,53.99,65.04,56.22,70.71,68.48,68.43,78.48,59.81,66.0,104.13,105.14,110.85,101.61,81.75,94.1,102.49,103.91,104.36,91.72,101.82,107.25,122.4,118.94,115.78,128.95,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Guinea,GN
Sugar Cane Production_Price_HN,12.86,16.72,16.72,21.86,28.29,37.55,44.24,48.87,52.98,58.64,64.81,57.87,58.64,64.81,68.15,77.93,79.98,84.87,81.58,93.2,120.05,108.26,93.9,100.32,101.13,98.56,100.89,93.52,91.06,89.83,89.2,88.57,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Honduras,HN
Sugar Cane Production_Price_IN,27.31,39.18,47.45,49.65,54.77,46.06,49.21,38.59,41.08,43.57,45.4,50.89,53.45,54.55,55.58,58.8,59.31,59.31,65.52,77.14,84.12,91.28,87.32,94.65,100.36,104.99,110.08,109.77,115.47,115.48,115.44,115.42,producer price index,Price,National,Sugar Cane Production,FAOSTAT,India,IN
Sugar Cane Production_Price_ID,10.34,10.79,10.07,12.8,15.34,15.78,13.52,23.47,30.33,26.72,28.78,30.8,31.95,32.1,31.85,38.84,47.05,55.94,60.08,76.61,82.88,86.27,91.94,98.68,99.47,101.86,104.49,107.78,116.46,117.75,114.13,120.93,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Indonesia,ID
Sugar Cane Production_Price_IR,3.72,3.9,4.72,5.63,5.63,10.76,15.89,15.34,15.12,18.98,23.35,28.51,30.62,35.15,40.58,45.1,45.67,50.89,59.87,72.65,84.69,53.99,66.21,81.8,104.84,113.36,127.22,197.2,224.51,350.87,439.75,477.1,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Iran (Islamic Republic of),IR
Sugar Cane Production_Price_JM,4.87,7.73,11.5,15.84,20.22,27.71,27.53,21.4,23.73,32.91,27.8,28.7,38.0,49.42,51.21,53.46,54.08,64.79,86.53,64.23,81.07,116.6,123.93,116.33,105.85,77.82,104.24,86.14,92.74,160.04,176.19,201.32,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Jamaica,JM
Sugar Cane Production_Price_JP,95.55,95.23,95.18,95.18,95.37,97.0,94.11,95.37,95.55,96.21,94.99,95.32,94.67,95.6,90.75,94.3,94.99,99.52,97.42,100.54,103.86,101.29,99.52,100.87,98.17,100.96,103.48,98.49,99.66,100.92,102.55,104.18,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Japan,JP
Sugar Cane Production_Price_KE,16.38,19.69,25.82,48.54,48.54,48.54,48.54,54.07,54.07,62.98,62.98,62.98,56.26,56.26,59.7,63.36,70.3,75.02,85.61,96.71,108.99,118.52,115.18,97.93,97.68,104.4,129.4,153.65,120.43,115.87,122.28,124.06,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Kenya,KE
Sugar Cane Production_Price_LA,0.61,0.63,0.66,0.69,0.76,0.93,21.94,31.34,44.05,45.39,48.06,53.4,59.64,60.19,60.73,61.28,61.82,62.37,62.91,63.46,64.01,64.13,90.77,96.39,99.46,104.15,101.49,103.62,102.03,96.91,91.6,86.29,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Lao People's Democratic Republic,LA
Sugar Cane Production_Price_LB,2.06,2.26,17.61,32.95,48.29,49.95,52.17,57.12,54.87,53.67,50.35,54.57,53.48,55.36,54.99,71.11,85.91,98.54,99.42,101.03,97.04,108.4,122.31,122.31,97.51,80.18,75.31,79.65,120.48,221.14,440.01,658.87,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Lebanon,LB
Sugar Cane Production_Price_MG,2.11,2.25,2.7,4.06,6.76,8.56,63.09,67.6,72.1,38.3,39.39,33.08,21.99,10.91,12.05,63.18,78.95,90.99,131.38,92.95,104.6,103.28,110.56,107.65,96.39,95.96,111.85,112.22,114.41,114.32,114.16,114.7,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Madagascar,MG
Sugar Cane Production_Price_MW,,,,,,0.93,1.46,1.59,2.65,3.44,5.94,6.89,8.63,9.52,12.85,18.55,23.85,24.91,29.03,28.27,29.99,36.62,53.59,74.96,100.78,124.26,131.28,142.17,164.99,181.85,200.45,219.05,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Malawi,MW
Sugar Cane Production_Price_MY,7.7,7.7,7.81,7.92,8.04,19.63,19.63,20.46,20.46,21.54,20.73,21.54,22.36,23.21,23.21,11.32,67.92,67.92,73.58,90.57,124.53,101.89,90.57,107.55,96.23,96.23,106.42,106.01,106.5,97.24,89.42,81.83,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Malaysia,MY
Sugar Cane Production_Price_ML,50.89,50.89,44.2,73.66,111.15,92.41,143.29,189.23,154.41,102.68,137.12,96.69,92.81,91.22,74.57,86.99,74.57,77.05,79.54,82.02,105.76,103.37,108.37,109.95,94.5,95.55,99.74,106.18,107.66,103.03,99.77,96.51,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Mali,ML
Sugar Cane Production_Price_MU,39.27,62.87,62.72,78.28,86.74,99.62,92.31,104.11,86.38,93.18,103.53,108.66,113.58,126.61,132.97,135.07,138.91,130.4,115.89,101.81,106.91,121.52,120.83,103.18,92.94,103.88,99.74,73.85,82.35,101.73,105.13,108.52,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Mauritius,MU
Sugar Cane Production_Price_MX,14.26,16.67,17.48,21.49,24.91,35.64,42.83,44.68,49.48,51.31,58.12,60.18,63.04,66.01,72.98,74.73,76.62,80.17,77.9,124.51,122.66,133.31,103.42,92.97,96.73,110.31,135.48,157.22,156.56,158.52,170.64,179.97,producer price index,Price,National,Sugar Cane Production,FAOSTAT,Mexico,MX
