ID,2011,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat thermal battery storage_Cumulative Total Capacity_AU,3000,4100,Heat thermal battery storage,Australia,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,AU
