ID,2017,2018,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Total Number_BG,1,1,1,1,Bulgaria,National,BG,UNOOSA,Total Number,-,Space Launches
