ID,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Caprolactam_Price_World,41.64892528,38.21699079,34.61704312,31.82048682,24.48412698,19.87366375,18.26153846,16.75683318,16.26853526,15.10490112,14.80067002,PCDB,Price,Caprolactam,Global,World,World,Price (1966 USD/lbs)
Caprolactam_Annual production_World,163.8,187.6,245.7,290.0,319.0,328.6,400.0,480.0,508.0,574.7,640.0,PCDB,Annual production,Caprolactam,Global,World,World,Yearly Production (Mil. lbs)
