ID,2009,2010,2011,2012,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_CN,2200,4650,32085,38760,40940,54815,54915,Lithium-Ion Battery Storage,China,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,CN
Lithium-Ion Battery Storage_Cumulative Rated Capacity_CN,2200,4650,32085,38760,40940,54815,54915,Lithium-Ion Battery Storage,China,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,CN
