ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Railroad_Cumulative total capacity_HN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,60.0,60.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,111.0,138.0,138.0,138.0,170.0,170.0,170.0,241.0,241.0,386.0,515.0,575.0,575.0,575.0,763.0,895.0,900.0,1306.0,1236.0,1432.0,1459.0,1459.0,1459.0,1459.0,1459.0,1437.0,1437.0,1437.0,1437.0,1437.0,1437.0,1437.0,1313.0,1313.0,,,,,1046.0,1046.0,1046.0,1160.0,1160.0,1281.0,1297.0,1318.0,1313.0,1316.0,1312.0,1293.0,1272.0,1263.0,1251.0,1240.0,1230.0,1219.0,1200.0,1148.0,1078.0,1029.0,1027.0,1036.0,1017.0,1016.0,1028.0,1045.0,1059.0,996.0,989.0,977.0,977.0,977.0,977.0,,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,996.0,,,,,,,,,,,,,,,,Honduras,HN,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,21.0,,,,,,,,585.0,795.0,865.0,1005.0,1140.0,1343.0,1444.0,1589.0,1702.0,1725.0,1913.0,2037.0,2195.0,2291.0,2573.0,2803.0,2889.0,2960.0,3074.0,3105.0,,,,3201.0,3367.0,3383.0,3425.0,3459.0,3473.0,3547.0,3638.0,3679.0,3816.0,3931.0,3969.0,4029.0,4066.0,4146.0,4238.0,4306.0,4401.0,4494.0,4496.0,4610.0,4662.0,4816.0,4902.0,5109.0,5117.0,5101.0,5114.0,5114.0,5125.0,5166.0,5175.0,5266.0,5307.0,5333.0,5415.0,5414.0,5415.0,5460.0,5476.0,5478.0,5480.0,5491.0,,,,,,5531.0,5542.0,5542.0,5542.0,5542.0,5525.0,5535.0,5535.0,5535.0,5517.0,5517.0,5507.0,5512.0,5510.0,5485.0,5467.0,5327.0,5296.0,5255.0,5234.0,5234.0,5205.0,5164.0,5164.0,5166.0,,5074.0,5074.0,5008.0,5008.0,5008.0,4965.0,4862.0,4797.0,4661.0,4654.0,4519.0,4458.0,4337.0,4136.0,3457.0,3289.0,3141.0,2831.0,2824.0,2824.0,2668.0,2474.0,2474.0,2472.0,2472.0,2517.0,2515.0,2515.0,2515.0,2515.0,2334.0,2337.0,2337.0,2338.0,2321.0,2321.0,2321.0,2319.0,2276.0,2276.0,2276.0,2276.0,2276.0,2276.0,1944.0,1944.0,1944.0,2812.0,2812.0,,,,,,,,,,,,,,,,Ireland,IE,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_SN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,13,114,239,264,264,264,264,264,264,264,264,264,264,264,425,425,443,495,514,562,603,739,819,819,819,847,895,947,,,,1218,1304,1306,1306,1306,1305,1305,1314,1363,1442,1509,1509,1509,1509,1516,1516,1634,1646,1681,1689,1689,,1701,1701,1701,1701,1701,1701,1701,1701,1701,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,,977,1177,1177,1177,1178,1178,1178,1184,1184,1184,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1183,1180,1180,1180,1180,1180,1180,1180,1180,1180,1180,1200,1200,1200,,,,,,,,,,,Senegal,SN,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,45.0,145.0,263.0,318.0,340.0,386.0,447.0,568.0,587.0,587.0,604.0,703.0,794.0,810.0,869.0,885.0,917.0,965.0,1091.0,1357.0,1442.0,1511.0,1692.0,1714.0,1729.0,1824.0,1906.0,2012.0,2094.0,2285.0,2511.0,2598.0,2730.0,2816.0,2897.0,3119.0,3224.0,3333.0,3432.0,3499.0,3589.0,3644.0,3741.0,4012.0,4112.0,4182.0,4294.0,4319.0,4366.0,4410.0,4420.0,4446.0,4447.0,4470.0,4526.0,4517.0,4525.0,4527.0,4541.0,4572.0,4589.0,4590.0,4534.0,4562.0,4562.0,4543.0,4552.0,4557.0,4539.0,4550.0,4574.0,4604.0,4663.0,4668.0,4679.0,4679.0,4677.0,4676.0,,,,,,4727.0,4938.0,4964.0,4984.0,5018.0,5035.0,5085.0,5101.0,5100.0,5096.0,5099.0,5125.0,5097.0,5134.0,5154.0,5145.0,5145.0,5138.0,5134.0,5128.0,5140.0,5038.0,4960.0,4890.0,4888.0,5102.0,5096.0,5086.0,5049.0,5041.0,5050.0,5046.0,5046.0,5056.0,5041.0,5034.0,4935.0,4910.0,4854.0,4829.0,4715.0,4632.0,4620.0,4566.0,4544.0,4485.0,4485.0,4441.0,4364.0,4336.0,4282.0,4263.0,4165.0,4144.0,4081.0,4048.0,4004.0,3998.0,3998.0,4003.0,4046.0,3978.0,3971.0,3930.0,3920.0,3842.0,3741.0,3667.0,3568.0,3554.0,3554.0,3513.0,3479.0,3432.0,3410.0,,,,,,,,,,,,,,,,Belgium,BE,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.0,1201.0,,,,,,,,,,,,,,,,,Slovenia,SI,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.0,1202.0,1265.0,1323.0,1364.0,1364.0,1391.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Vietnam,VN,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,86.0,86.0,86.0,106.0,255.0,329.0,814.0,1229.0,1411.0,2275.0,2323.0,2998.0,3209.0,3323.0,3453.0,3522.0,3522.0,3522.0,3604.0,3666.0,3666.0,3666.0,4061.0,4211.0,4337.0,4665.0,5814.0,6167.0,6970.0,7731.0,8397.0,9305.0,10019.0,11036.0,11577.0,11798.0,14068.0,15484.0,16677.0,17482.0,19123.0,19788.0,20433.0,21344.0,22450.0,23618.0,24623.0,25790.0,26464.0,27095.0,27587.0,28176.0,28788.0,29531.0,30249.0,31178.0,31617.0,32343.0,34042.0,35423.0,37179.0,38017.0,39882.0,40897.0,42116.0,44433.0,48513.0,50967.0,57566.0,61023.0,63250.0,63062.0,63453.0,63910.0,64531.0,64800.0,65276.0,65928.0,66397.0,66397.0,66751.0,67478.0,68054.0,68128.0,69503.0,69457.0,69340.0,69233.0,70273.0,69687.0,69969.0,69993.0,69824.0,69708.0,69509.0,69343.0,69356.0,69340.0,69365.0,69338.0,69317.0,69198.0,69166.0,69167.0,69130.0,69126.0,69464.0,69414.0,69916.0,70251.0,70634.0,71012.0,71147.0,70858.0,70311.0,70254.0,70204.0,69773.0,69454.0,69512.0,69472.0,69472.0,70188.0,70784.0,71057.0,70851.0,71185.0,71239.0,70716.0,70471.0,69967.0,67890.0,67725.0,67066.0,66371.0,65899.0,66243.0,64874.0,63729.0,62313.0,62740.0,60862.0,59353.0,57874.0,57874.0,56749.0,55523.0,,,,,,,,,,,,,,,,Canada,CA,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_ZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.0,814.0,814.0,814.0,814.0,814.0,814.0,853.0,919.0,985.0,1038.0,1036.0,1036.0,1036.0,1036.0,1038.0,1038.0,1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,1033.0,1034.0,1034.0,1034.0,1036.0,1036.0,1037.0,1037.0,1038.0,1039.0,1040.0,1040.0,1041.0,1042.0,1042.0,1043.0,1044.0,1045.0,1046.0,,1099.0,,,1104.0,1260.0,,1260.0,1260.0,1260.0,1260.0,1609.0,1609.0,1609.0,1609.0,1924.0,1924.0,1924.0,1924.0,1924.0,1924.0,1924.0,1924.0,1273.0,1273.0,1273.0,1273.0,1273.0,1273.0,1273.0,,,,,,,,,,,Zambia,ZM,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125.0,,,,,,,,,,,,,,,,Azerbaijan,AZ,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cambodia,KH,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,101.0,131.0,131.0,131.0,131.0,131.0,198.0,269.0,362.0,494.0,564.0,564.0,698.0,802.0,908.0,1040.0,1067.0,1067.0,1322.0,1477.0,1612.0,1704.0,1704.0,1841.0,1868.0,1912.0,2078.0,2135.0,2283.0,2283.0,2310.0,2199.0,2317.0,2317.0,2365.0,2398.0,2459.0,2503.0,2577.0,2631.0,2637.0,2907.0,2979.0,3248.0,3437.0,3521.0,3566.0,3630.0,3782.0,3782.0,3954.0,3968.0,4014.0,4013.0,4063.0,4353.0,4372.0,4562.0,4660.0,4690.0,4851.0,5020.0,5013.0,5027.0,5104.0,5868.0,5866.0,5860.0,5859.0,5976.0,5983.0,6045.0,6134.0,6183.0,6243.0,6237.0,6240.0,6042.0,6104.0,6105.0,6076.0,5969.0,5897.0,5796.0,5796.0,5729.0,5733.0,5733.0,5733.0,5733.0,5753.0,5753.0,5754.0,5687.0,5678.0,5625.0,5628.0,5590.0,5531.0,5395.0,5373.0,5237.0,5147.0,5122.0,5072.0,4977.0,4971.0,4741.0,4688.0,4601.0,4601.0,4055.0,4098.0,3772.0,3408.0,3408.0,2974.0,2940.0,2940.0,2940.0,2933.0,,2933.0,2944.0,2944.0,2944.0,2944.0,2954.0,2965.0,2965.0,2965.0,2969.0,2837.0,2838.0,2838.0,2838.0,2838.0,2881.0,2770.0,2770.0,2838.0,2848.0,3358.0,3323.0,2859.0,,,,,,,,,Denmark,DK,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3310.0,3307.0,3315.0,3315.0,3315.0,3314.0,3314.0,3314.0,,,,,,,,,,2253.0,2887.0,2887.0,2887.0,2887.0,2887.0,2987.0,2987.0,2987.0,2991.0,2991.0,3021.0,3061.0,3067.0,3073.0,3098.0,3098.0,3098.0,3098.0,3098.0,3098.0,3098.0,3122.0,3194.0,3194.0,3194.0,3211.0,3211.0,3210.0,3235.0,,,,,,3299.0,3299.0,3299.0,3299.0,,,2136.0,2149.0,2149.0,,,,,,,,,,,,,,,,Burma,MM,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_SY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.0,465.0,476.0,615.0,782.0,782.0,782.0,782.0,815.0,815.0,815.0,821.0,821.0,821.0,860.0,860.0,860.0,860.0,,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,860.0,,852.0,852.0,852.0,852.0,852.0,852.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,844.0,,844.0,844.0,992.0,1033.0,1040.0,1040.0,1259.0,1333.0,1419.0,1368.0,1327.0,1331.0,1331.0,1483.0,1530.0,1676.0,1610.0,1679.0,1686.0,1686.0,1686.0,1720.0,1725.0,,,,,,,,,,,,,,,,,,,,,Syria,SY,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.0,1493.0,1611.0,1839.0,2128.0,2471.0,2795.0,3244.0,3957.0,4568.0,5037.0,5708.0,6566.0,7453.0,8209.0,9252.0,10031.0,10910.0,12075.0,12901.0,14115.0,14968.0,16040.0,16412.0,17002.0,17551.0,18232.0,18333.0,19114.0,19620.0,20391.0,20794.0,21113.0,21719.0,22589.0,22792.0,23251.0,23581.0,23980.0,25478.0,26171.0,27392.0,28304.0,29152.0,30716.0,32278.0,35010.0,37364.0,38928.0,39704.0,40323.0,40793.0,41182.0,41412.0,41980.0,42879.0,43516.0,44695.0,45054.0,42026.0,42838.0,43187.0,43487.0,43692.0,43935.0,43970.0,43952.0,43849.0,43844.0,43963.0,44004.0,43963.0,43937.0,43945.0,43914.0,43877.0,43787.0,43787.0,43733.0,43646.0,43535.0,43418.0,43378.0,43206.0,43143.0,42847.0,42788.0,42604.0,42601.0,42530.0,42376.0,42242.0,42007.0,41170.0,41033.0,40496.0,40287.0,40242.0,40329.0,40469.0,43380.0,42007.0,40269.0,40323.0,40474.0,40406.0,40604.0,40753.0,40133.0,39710.0,39388.0,39463.0,39136.0,38943.0,39086.0,39269.0,39214.0,38710.0,38539.0,38162.0,35777.0,35486.0,37295.0,37233.0,36652.0,,,,,,,,,,,,,,,,Australia,AU,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,22.0,70.0,222.0,474.0,540.0,602.0,640.0,697.0,715.0,906.0,916.0,916.0,916.0,949.0,970.0,1003.0,1018.0,1033.0,1033.0,1117.0,1132.0,1335.0,1351.0,1372.0,1372.0,1427.0,1548.0,1573.0,1573.0,1584.0,1584.0,,2303.0,2328.0,2346.0,2373.0,2383.0,2396.0,2463.0,2463.0,2463.0,2463.0,2681.0,2681.0,2681.0,2679.0,2679.0,2678.0,2677.0,2687.0,2687.0,2687.0,2692.0,,,2976.0,,,,,,,,,,,2531.0,2553.0,2554.0,2546.0,2522.0,2585.0,2605.0,2664.0,2628.0,2628.0,2545.0,2583.0,2583.0,2583.0,2576.0,2576.0,2583.0,2573.0,2573.0,2571.0,2571.0,2571.0,2542.0,2543.0,2543.0,2543.0,2476.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2479.0,2484.0,2484.0,2484.0,2497.0,2479.0,2479.0,2503.0,2474.0,2474.0,2548.0,2548.0,,,,,,,,,Greece,GR,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,224.0,224.0,224.0,224.0,224.0,244.0,224.0,244.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,,,693.0,693.0,803.0,803.0,803.0,838.0,838.0,861.0,861.0,985.0,994.0,1436.0,1566.0,1566.0,1566.0,1567.0,1567.0,1567.0,1567.0,1591.0,1591.0,1694.0,1897.0,1934.0,2109.0,2109.0,2124.0,2124.0,2148.0,2148.0,2203.0,2203.0,2205.0,2205.0,2256.0,2256.0,2296.0,2296.0,2308.0,2309.0,2380.0,2417.0,2441.0,2992.0,3030.0,3079.0,3143.0,3220.0,3236.0,3245.0,3352.0,,,,,,,,3732.0,,,,3967.0,,,,,4091.0,,4108.0,,4146.0,4136.0,4163.0,4125.0,,4160.0,4094.0,4094.0,4158.0,4158.0,4196.0,4196.0,4231.0,4243.0,4245.0,4282.0,4290.0,4307.0,4295.0,4269.0,4269.0,4267.0,4267.0,4273.0,4278.0,4279.0,4297.0,4294.0,4300.0,4300.0,4299.0,4299.0,4299.0,4294.0,4291.0,4300.0,,4294.0,4292.0,4292.0,4292.0,4249.0,,,,,,,,,Bulgaria,BG,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_GN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,153.0,162.0,220.0,251.0,296.0,324.0,589.0,589.0,589.0,615.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,662.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,,,,,,,,,,,,,,,,Guinea,GN,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,71.0,105.0,185.0,264.0,402.0,402.0,435.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,1235.0,1235.0,1269.0,1507.0,,,,,,,,2064.0,2071.0,2071.0,2071.0,2071.0,2105.0,2105.0,2263.0,3386.0,3521.0,3539.0,4275.0,4456.0,4585.0,4585.0,4582.0,4674.0,4749.0,4756.0,4646.0,4646.0,4646.0,4646.0,4646.0,4646.0,4758.0,4758.0,4774.0,4764.0,4764.0,4790.0,4986.0,4759.0,4736.0,4923.0,5133.0,5133.0,5133.0,5132.0,5074.0,4979.0,4980.0,4980.0,4980.0,5024.0,5024.0,5024.0,5024.0,5024.0,5024.0,5081.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5088.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,5118.0,,,,,,,,,,,Democratic Republic of the Congo,CD,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
Railroad_Cumulative total capacity_MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,16.0,16.0,16.0,,,,,31.0,31.0,31.0,31.0,31.0,31.0,139.0,139.0,139.0,,341.0,341.0,,,559.0,574.0,648.0,651.0,657.0,721.0,866.0,1056.0,1732.0,3627.0,5317.0,5761.0,5877.0,5955.0,6463.0,7653.0,8269.0,9504.0,9808.0,10246.0,10407.0,10526.0,10538.0,10842.0,11504.0,12400.0,12616.0,13285.0,14203.0,14801.0,15759.0,16159.0,16560.0,17124.0,17669.0,18550.0,19009.0,19312.0,19394.0,19996.0,,,,,,,,,,,20433.0,20412.0,20509.0,22724.0,23055.0,23096.0,23238.0,23345.0,23387.0,23344.0,23041.0,23030.0,22947.0,22937.0,22784.0,23331.0,23473.0,22979.0,23145.0,23135.0,22914.0,22980.0,22954.0,22954.0,22918.0,23314.0,23259.0,23332.0,23329.0,23397.0,23301.0,23282.0,23370.0,23425.0,23383.0,23457.0,23292.0,23369.0,23487.0,23501.0,23793.0,23619.0,23672.0,23826.0,23977.0,24129.0,24119.0,24468.0,24501.0,24700.0,24670.0,24864.0,24912.0,24952.0,25047.0,25101.0,25314.0,25510.0,25498.0,25476.0,25799.0,25840.0,25908.0,26241.0,26287.0,26399.0,26391.0,26360.0,26434.0,26435.0,26445.0,26477.0,26612.0,26622.0,26662.0,26662.0,26662.0,,,,,,,,,,Mexico,MX,NBER CHAT,National,Length of railway open in kilometers,Cumulative total capacity,Railroad
