ID,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Motor Gasoline_Price_World,0.096,0.113,0.128,0.131,0.134,0.132,0.129,0.134,0.128,0.126,0.123,0.124,0.116,0.114,0.113,0.112,0.109,0.106,0.104,0.104,0.101,0.1,0.094,Santa Fe Institute,Price,Motor Gasoline,Global,World,World,Price per Gallon (1958 USD)
Motor Gasoline_Annual production_World,,0.84,0.92,0.96,1.02,1.14,1.19,1.29,1.29,1.42,1.48,1.48,1.49,1.55,1.59,1.6,1.66,1.71,1.78,1.82,1.91,1.98,2.09,Santa Fe Institute,Annual production,Motor Gasoline,Global,World,World,Yearly Production (Billion Barrels)
